"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Morocco","MAR",161437827,0.71042527207797,2,50,1,3,1,,0,0,0,,,2,,,,,,,,,,,,,,4,2,1,1,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,1,1,2,,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,3,3,2,3,,3,,0,0,2,4,4,4,2,5,1,1,0,0
"Morocco","MAR",194662632,0.870484885374319,2,39,1,2,1,,0,0,0,,,2,,,,,,,,,,,,,,1,1,1,1,1,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,1,2,2,2,2,2,2,,,,,,2,1,2,2,3,2,,0,0,4,3,4,4,4,5,1,1,0,0
"Morocco","MAR",181865085,0.571586899159816,1,19,1,2,1,,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,1,2,,2,2,2,2,,8,,,2,,,,2,,,,2,,,,,,2,,,,,,,1,1,2,2,2,2,2,,,,,,2,1,2,2,3,2,,1,0,4,3,3,4,4,5,1,1,0,0
"Morocco","MAR",139851345,1.15275584929491,2,33,1,2,2,,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,1,,,,,2,,,2,2,1,2,1,,2,2,,2,2,2,2,,5,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,1,2,1,,0,0,4,4,4,4,2,5,1,1,0,0
"Morocco","MAR",140388365,0.94241747065391,1,42,1,1,2,,0,0,0,,,2,,,,,,,,,,,,,,2,2,3,2,3,3,1,1,1,,,,,2,,,2,2,2,,,,1,2,,2,2,2,1,,2,2,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,2,2,1,,1,1,4,4,4,4,2,5,1,1,0,0
"Morocco","MAR",139688527,0.599151224390493,2,22,2,4,1,,1,1,0,2,1,1,2,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,1,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,2,1,2,2,3,,1,1,4,4,4,4,4,5,1,1,0,0
"Morocco","MAR",194998268,0.644167169709817,2,19,1,4,1,,1,1,0,,,2,,,,,,,,,,,,,,,2,2,1,2,1,2,1,2,,,,,2,,,2,2,1,2,1,,1,2,,1,1,2,1,2,1,1,1,2,,,,1,2,2,2,2,,,,,,1,2,1,2,,,1,2,2,,,,,2,,,,,,1,1,2,1,2,1,,1,1,1,4,4,4,4,4,1,1,1,0
"Morocco","MAR",126206609,1.46308004866745,1,24,2,4,2,,1,1,0,2,2,2,,,2,2,2,,,,2,,1,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,1,1,,6,1,1,2,,,,1,2,1,2,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,2,1,2,,0,1,4,4,4,4,2,3,1,1,0,0
"Morocco","MAR",135085592,1.79383518703086,2,46,1,3,1,,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,1,2,2,2,1,3,1,1,2,,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,1,2,2,2,1,,2,,,,,,3,1,2,1,2,1,,1,1,2,2,4,4,2,5,1,2,0,0
"Morocco","MAR",158647203,0.317398262931472,2,34,1,1,1,,1,1,0,2,2,2,,,2,2,2,,,,2,,1,3,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,1,,2,2,2,1,,2,1,1,1,2,1,1,2,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,3,3,4,4,,3,,1,1,2,4,4,4,4,2,1,2,0,0
"Morocco","MAR",199999226,0.915751208693661,1,25,1,5,2,,1,1,0,2,2,1,2,,2,2,2,,,,2,,1,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,1,2,1,4,2,,0,1,4,4,4,4,4,5,1,1,0,0
